date,category,net_worth,assets,real_estate,consumer_durables,corporate_equities_mutual_fund_shares,db_pension_entitlements,dc_pension_entitlements,private_businesses,other_assets,liabilities,home_mortgages,consumer_credit,other_liabilities
1989:Q3,TopPt1,8.6,7.7,2,10.4,14.4,0.4,2.4,19.9,10.3,1.4,0.6,2.7,4.9
1989:Q3,RemainingTop1,14.2,12.7,7,8.6,28.1,4.2,8.6,24.1,15.3,2.6,2.8,0.6,10
1989:Q3,Next9,38,34.9,29.2,22,39.2,45.1,44.2,34.4,37.3,15,16.5,7.5,30.4
1989:Q3,Next40,35.7,37.5,49.7,39.8,17.2,46.6,39.4,20.2,32,49.4,52.2,45.3,32.2
1989:Q3,Bottom50,3.5,7.2,12,19.2,1.1,3.7,5.3,1.4,5.1,31.6,27.9,43.9,22.6
1989:Q4,TopPt1,8.7,7.7,2.2,10.3,14.6,0.5,2.2,19.9,10.3,1.3,0.6,2.4,5
1989:Q4,RemainingTop1,14.3,12.7,7.2,8.4,27.9,4.4,8.6,24.2,15.3,2.7,2.9,0.7,10.8
1989:Q4,Next9,38,34.9,29.4,21.6,38.9,44.6,44.3,34.4,37.2,15.2,16.8,7.8,30.8
1989:Q4,Next40,35.7,37.5,49.3,40.1,17.4,46.9,39.6,20.1,32.1,49,51.8,44.7,31.9
1989:Q4,Bottom50,3.4,7.2,11.8,19.5,1.2,3.6,5.3,1.4,5.1,31.8,28,44.4,21.5
1990:Q1,TopPt1,8.6,7.6,2.3,9.5,13.9,0.6,2.1,19.9,10.4,1.2,0.6,2.2,5
1990:Q1,RemainingTop1,14.1,12.6,7.2,8.4,27.8,4.6,8.6,24.3,15.2,2.8,2.9,0.8,11.4
1990:Q1,Next9,37.8,34.8,29.1,21.8,38.9,44,44.6,34.5,37.2,15.6,17.2,7.7,31.3
1990:Q1,Next40,36,37.7,49.1,40.5,18.2,47.3,39.5,20,32.1,48.5,51.3,43.9,31.5
1990:Q1,Bottom50,3.5,7.3,12.2,19.8,1.2,3.6,5.2,1.4,5.1,31.9,28.1,45.4,20.9
1990:Q2,TopPt1,8.7,7.7,2.5,9.5,14.2,0.6,1.9,20,10.4,1.1,0.5,1.9,5
1990:Q2,RemainingTop1,14.2,12.7,7.4,8.2,27.5,4.7,8.6,24.3,15.2,2.9,2.9,0.9,12
1990:Q2,Next9,37.7,34.7,29.4,21.4,38.7,43.5,45.1,34.6,37.1,16,17.6,7.9,31.8
1990:Q2,Next40,36,37.7,48.9,40.9,18.4,47.6,39.3,19.8,32.2,48.1,50.9,43.3,31.2
1990:Q2,Bottom50,3.3,7.2,11.8,20.1,1.3,3.5,5.1,1.4,5.1,31.9,28,46,20
1990:Q3,TopPt1,8.5,7.4,2.6,8.5,12.2,0.7,1.8,20,10.5,1,0.5,1.7,5.1
